NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,An.number
ADRM1,Q16186,9606.ENSP00000478877,0,proteasome complex,proteasome-mediated ubiquitin-dependent protein catabolic process,endopeptidase activator activity,Proteasome,grey,6
DDB1,Q16531,9606.ENSP00000301764,NER,Cul4-RING E3 ubiquitin ligase complex ,DNA repair ,damaged DNA binding ,DNA Repair,firebrick1,3
RBBP7,Q16576,9606.ENSP00000369424,0,NuRD complex ,histone deacetylation ,chromatin binding ,Chromatin Organization,darkviolet,2
FSCN1,Q16658,9606.ENSP00000371798,0,actin cytoskeleton [GO:0015629],actin filament capping ,actin filament organization ,DNA Repair,firebrick1,3
IFI16,Q16666,9606.ENSP00000357113,DSB,nuclear speck,negative regulation of transcription from RNA polymerase II promote,transcription factor binding,Transcription Regulation,slateblue1,9
DECR1,Q16698,9606.ENSP00000220764,0,nucleus,fatty acid beta-oxidation,"2,4-dienoyl-CoA reductase (NADPH) activity",UPR,maroon,10
UBE2S,Q16763,9606.ENSP00000264552,0,nucleus,protein polyubiquitination,ubiquitin-protein transferase activity,Chromatin Organization,darkviolet,2
HIST2H2AC,Q16777,9606.ENSP00000332194,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
HIST2H2BE,Q16778,9606.ENSP00000358151,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
HADH,Q16836,9606.ENSP00000474560,0,nucleoplasm,fatty acid beta-oxidation,3-hydroxyacyl-CoA dehydrogenase activit,Cell Cycle regulation,coral1,1
SMU1,Q2TAY7,9606.ENSP00000380336,0,nuclear speck ,"mRNA splicing, via spliceosome ",mRNA binding ,Cell Cycle regulation,coral1,1
TUBB8,Q3ZCM7,9606.ENSP00000456206,0,microtubule cytoskeleton ,microtubule cytoskeleton organization ,GTPase activity ,Cell Cycle regulation,coral1,1
TIMM50,Q3ZCQ8,9606.ENSP00000445806,0,nuclear speck,release of cytochrome c from mitochondria,protein tyrosine phosphatase activity,RNA Metabolism,gold,8
GLYR1,Q49A26,9606.ENSP00000322716,0,nucleosome ,positive regulation of histone acetylation ,methylated histone binding ,Chromatin Organization,darkviolet,2
FAM98B,Q52LJ0,9606.ENSP00000380734,0,nucleus,sitive regulation of cell proliferation,GO:0003723~RNA binding,RNA Metabolism,gold,8
USP39,Q53GS9,9606.ENSP00000312981,0,spliceosomal complex,"mRNA splicing, via spliceosome",thiol-dependent ubiquitin-specific protease activity,RNA Metabolism,gold,8
ZNF326,Q5BKZ1,9606.ENSP00000340796,0,DBIRD complex,RNA splicing,RNA polymerase II core binding,RNA Metabolism,gold,8
EMC4,Q5J8M3,9606.ENSP00000267750,0,endoplasmic reticulum membrane,apoptotic process,membrane insertase activity,Cell Cycle regulation,coral1,1
TOR1AIP1,Q5JTV8,9606.ENSP00000435365,0,nuclear envelope ,nuclear envelope organization ,lamin binding ,Cell Cycle regulation,coral1,1
DNTTIP2,Q5QJE6,9606.ENSP00000411010,DSB,chromosome ,RNA processing ,RNA binding ,Transcription Regulation,slateblue1,9
EXOSC6,Q5RKV6,9606.ENSP00000398597,0,nuclear exosome (RNase complex),nuclear mRNA surveillance,RNA binding,RNA Metabolism,gold,8
NUP188,Q5SRE5,9606.ENSP00000361658,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
HP1BP3,Q5SSJ5,9606.ENSP00000403039,0, nuclear speck [GO:0016607],chromatin organization ,chromatin binding ,Chromatin Organization,darkviolet,2
NOL9,Q5SY16,9606.ENSP00000366934,DSB,nucleolus ,RNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
SPOUT1,Q5T280,9606.ENSP00000354812,0,kinetochore ,cell cycle ,methyltransferase activity ,Chromatin Organization,darkviolet,2
MRPL2,Q5T653,9606.ENSP00000373404,0,nucleoplasm ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
H3-7,Q5TEC6,9606.ENSP00000499501,0,nucleosome,chromatin remodeling,structural constituent of chromatin,Chromatin Organization,darkviolet,2
RPRD2,Q5VT52,9606.ENSP00000358064,0,"RNA polymerase II, holoenzyme ","transcription, DNA-templated ",RNA polymerase II core binding ,RNA Metabolism,gold,8
ARID2,Q68CP9,9606.ENSP00000335044,MMR,SWI/SNF complex ,nucleosome disassembly ,DNA binding ,DNA Repair,firebrick1,3
DHRS7B,Q6IAN0,9606.ENSP00000378887,0,transcription factor complex,"negative regulation of transcription, DNA-templated","transcription corepressor activity,",Transcription Regulation,slateblue1,9
RETSAT,Q6NUM9,9606.ENSP00000295802,0,nuclear membrane,retinol metabolic process,"all-trans-retinol 13,14-reductase activity",Nuclear Pore,deepskyblue3,4
CAVIN1,Q6NZI2,9606.ENSP00000349541,0,nucleoplasm ,rRNA transcription ,RNA binding ,DNA Repair,firebrick1,3
RPUSD3,Q6P087,9606.ENSP00000373331,0,ribonucleoprotein granule,mRNA processing,RNA binding,RNA Metabolism,gold,8
PRPF8,Q6P2Q9,9606.ENSP00000460348,HR,nuclear speck ,"mRNA splicing, via spliceosome ",mRNA binding ,DNA Repair,firebrick1,3
SFXN4,Q6P4A7,9606.ENSP00000347924,0,nucleoplasm,amino acid transport,transmembrane transporter activity,Cell Cycle regulation,coral1,1
ALKBH5,Q6P6C2,9606.ENSP00000382091,HR,nucleus,mRNA processing,oxidative RNA demethylase activity,RNA Metabolism,gold,8
CTR9,Q6PD62,9606.ENSP00000355013,0,Cdc73/Paf1 complex ,histone H3-K4 methylation ,RNA polymerase II core binding ,Chromatin Organization,darkviolet,2
DARS2,Q6PI48,9606.ENSP00000497569,0,nucleoplasm,aspartyl-tRNA aminoacylation,tRNA binding,RNA Metabolism,gold,8
NCEH1,Q6PIU2,9606.ENSP00000442464,0,endoplasmic reticulum membrane,protein dephosphorylation,"serine hydrolase activity,",UPR,maroon,10
ZC3H14,Q6PJT7,9606.ENSP00000251038,0,ribonucleoprotein complex ,RNA processing ,mRNA binding ,RNA Metabolism,gold,8
LARP1,Q6PKG0,9606.ENSP00000336721,0,polysomal ribosome,ell proliferation,ribosomal small subunit binding,Ribosome Biosynthesis,lightgreen,7
WDR74,Q6RFH5,9606.ENSP00000432119,DSB,nucleoplasm ,rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
WDR82,Q6UXN9,9606.ENSP00000296490,DSB,PTW/PP1 phosphatase complex ,histone H3-K4 methylation ,chromatin binding ,Chromatin Organization,darkviolet,2
QSOX2,Q6ZRP7,9606.ENSP00000351536,0,nucleus,protein folding,protein disulfide isomerase activity,UPR,maroon,10
FAM83H,Q6ZRV2,9606.ENSP00000373565,0,cytoskeleton,signal transduction,protein kinase binding,Transcription Regulation,slateblue1,9
USP30,Q70CQ3,9606.ENSP00000257548,0,nucleus,ubiquitin-dependent protein catabolic process,ubiquitinyl hydrolase activity,UPR,maroon,10
HIST2H3D,Q71DI3,9606.ENSP00000333277,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
H2AFV,Q71UI9,9606.ENSP00000308405,0, nucleosome [GO:0000786],chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
SND1,Q7KZF4,9606.ENSP00000346762,HR,RISC complex ,"transcription, DNA-templated ",nuclease activity ,Cell Cycle regulation,coral1,1
DDX46,Q7L014,9606.ENSP00000416534,0,nuclear speck ,"mRNA splicing, via spliceosome ",RNA helicase activity ,RNA Metabolism,gold,8
DHX30,Q7L2E3,9606.ENSP00000405620,0,ribonucleoprotein complex ,RNA processing ,RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
ZC3HAV1,Q7Z2W4,9606.ENSP00000242351,0,nucleus ,RNA processing ,RNA binding ,Transcription Regulation,slateblue1,9
NUP54,Q7Z3B4,9606.ENSP00000264883,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
TAF8,Q7Z7C8,9606.ENSP00000362068,0,transcription factor TFIID complex,positive regulation of transcription initiation from RNA polymerase II promoter,protein binding,Transcription Regulation,slateblue1,9
MRPL10,Q7Z7H8,9606.ENSP00000290208,0, mitochondrial large ribosomal subunit [GO:0005762],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
ZBTB33,Q86T24,9606.ENSP00000314153,0,chromatin ,"transcription, DNA-templated ",transcription corepressor activity ,Transcription Regulation,slateblue1,9
PABPN1,Q86U42,9606.ENSP00000216727,HR,ribonucleoprotein complex ,RNA processing ,RNA binding ,Chromatin Organization,darkviolet,2
THOC6,Q86W42,9606.ENSP00000326531,SSB,THO complex ,"mRNA splicing, via spliceosome ",RNA binding ,Nuclear Pore,deepskyblue3,4
CHD1L,Q86WJ1,9606.ENSP00000358262,NER,site of double-strand break,chromatin remodeling,nucleosome binding,Chromatin Organization,darkviolet,2
ANKLE2,Q86XL3,9606.ENSP00000350686,0,membrane,cell cycle,protein phosphatase 2A binding,Cell Cycle regulation,coral1,1
DDX42,Q86XP3,9606.ENSP00000464050,DSB,nuclear speck ,regulation of apoptotic process ,RNA helicase activity ,RNA Metabolism,gold,8
GATAD2A,Q86YP4,9606.ENSP00000353463,HR,NuRD complex ,histone deacetylation ,histone deacetylase binding ,Chromatin Organization,darkviolet,2
MISP,Q8IVT2,9606.ENSP00000215582,HR,spindle pole centrosome ,cell division ,actin filament binding ,Cell Cycle regulation,coral1,1
WDR75,Q8IWA0,9606.ENSP00000314193,DSB,nucleolus ,rRNA processing ,RNA binding ,Transcription Regulation,slateblue1,9
ITPRIP,Q8IWB1,9606.ENSP00000278071,0,nuclear outer membrane,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,protein kinase inhibitor activity,Cell Cycle regulation,coral1,1
CCAR1,Q8IX12,9606.ENSP00000265872,NER,nuclear envelope lumen ,"transcription, DNA-templated ",transcription corepressor activity ,Cell Cycle regulation,coral1,1
FTSJ3,Q8IY81,9606.ENSP00000396673,DSB,nucleolus ,rRNA methylation ,methyltransferase activity ,Ribosome Biosynthesis,lightgreen,7
PELP1,Q8IZL8,9606.ENSP00000301396,DSB,MLL1 complex ,histone H3-K4 methylation ,transcription factor binding ,Transcription Regulation,slateblue1,9
CCAR2,Q8N163,9606.ENSP00000310670,NHEJ,DBIRD complex ,"transcription, DNA-templated ",RNA polymerase II core binding ,DNA Repair,firebrick1,3
NUP93,Q8N1F7,9606.ENSP00000310668,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
HIST3H2BB,Q8N257,9606.ENSP00000479284,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
KIF2B,Q8N4N8,9606.ENSP00000268919,0,centrosome [GO:0005813],cell cycle ,ATPase activity ,DNA Repair,firebrick1,3
CPSF7,Q8N684,9606.ENSP00000345412,0,mRNA cleavage factor complex ,mRNA 3'-end processing ,mRNA binding ,RNA Metabolism,gold,8
SIRT6,Q8N6T7,9606.ENSP00000337332,HR,"chromosome, subtelomeric region ",histone deacetylation ,deacetylase activity ,DNA Repair,firebrick1,3
PAF1,Q8N7H5,9606.ENSP00000221265,HR,Cdc73/Paf1 complex ,histone methylation ,RNA polymerase II core binding ,Chromatin Organization,darkviolet,2
DDX51,Q8N8A6,9606.ENSP00000380495,DSB,nucleolus ,rRNA processing ,RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
SCCPDH,Q8NBX0,9606.ENSP00000355467,HR,nucleus,glycolipid biosynthetic process,oxidoreductase activity,Nuclear Pore,deepskyblue3,4
SERBP1,Q8NC51,9606.ENSP00000360034,DSB,nucleus ,regulation of apoptotic process ,mRNA binding ,DNA Repair,firebrick1,3
ZNF280C,Q8ND82,9606.ENSP00000360017,0,nucleus ,"transcription, DNA-templated ",ubiquitin protein ligase binding ,Transcription Regulation,slateblue1,9
NUP43,Q8NFH3,9606.ENSP00000342262,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
NUP35,Q8NFH5,9606.ENSP00000295119,0,nuclear pore central transport channel,"GO:0006355~regulation of transcription, DNA-templated,GO:0006607~NLS-bearing protein import into nucleus,GO:0006913~nucleocytoplasmic transport,GO:0006999~nuclear pore organization,GO:0015031~protein transport,GO:0051028~mRNA transport,GO:1990830~cellular response to leukemia inhibitory factor,",structural constituent of nuclear pore,Nuclear Pore,deepskyblue3,4
GPRC5A,Q8NFJ5,9606.ENSP00000014914,0,nucleolus,G-protein coupled receptor signaling pathway,protein kinase activator activity,Cell Cycle regulation,coral1,1
TOR1AIP2,Q8NFQ8,9606.ENSP00000356584,0,nuclear membrane,positive regulation of ATPase activity,ATPase activator activity,Nuclear Pore,deepskyblue3,4
THOC2,Q8NI27,9606.ENSP00000245838,0,transcription export complex ,RNA processing ,mRNA binding ,Nuclear Pore,deepskyblue3,4
WDR36,Q8NI36,9606.ENSP00000423067,0,Pwp2p-containing subcomplex of 90S preribosome ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
NPLOC4,Q8TAT6,9606.ENSP00000331487,MMR,VCP-NPL4-UFD1 AAA ATPase complex,ubiquitin-dependent protein catabolic process,ubiquitin binding,UPR,maroon,10
GDAP1,Q8TB36,9606.ENSP00000220822,0,nucleus,glutathione metabolic process,protein binding,Cell Cycle regulation,coral1,1
PNPT1,Q8TCS8,9606.ENSP00000400646,MMR,nucleus ,regulation of cellular senescence ,miRNA binding ,Cell Cycle regulation,coral1,1
DDX54,Q8TDD1,9606.ENSP00000323858,DSB,nucleoplasm ,rRNA processing ,transcription corepressor activity ,Transcription Regulation,slateblue1,9
BRIX1,Q8TDN6,9606.ENSP00000338862,DSB,chromosome ,rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
UTP15,Q8TED0,9606.ENSP00000296792,0, nucleolus [GO:0005730],rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
NUP210,Q8TEM1,9606.ENSP00000254508,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
USP33,Q8TEY7,9606.ENSP00000359829,0,nucleoplasm,protein deubiquitination,thiol-dependent ubiquitin-specific protease activity,Cell Cycle regulation,coral1,1
PTPMT1,Q8WUK0,9606.ENSP00000325958,0,nucleus,dephosphorylation,phosphoprotein phosphatase activity,Cell Cycle regulation,coral1,1
NUP133,Q8WUM0,9606.ENSP00000261396,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
LEO1,Q8WVC0,9606.ENSP00000299601,0,Cdc73/Paf1 complex ,histone H2B ubiquitination ,transcription cofactor activity ,Chromatin Organization,darkviolet,2
TFB1M,Q8WVM0,9606.ENSP00000356134,0,mitochondrial nucleoid,rRNA methylation,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",RNA Metabolism,gold,8
LMO7,Q8WWI1,9606.ENSP00000366757,NER,ubiquitin ligase complex ,positive regulation of transcription from RNA polymerase II promoter ,ubiquitin-protein transferase activity ,Transcription Regulation,slateblue1,9
PRPF31,Q8WWY3,9606.ENSP00000324122,HR,MLL1 complex ,histone H3-K4 methylation ,RNA binding ,Chromatin Organization,darkviolet,8
GATAD2B,Q8WXI9,9606.ENSP00000357644,0,NuRD complex ,ATP-dependent chromatin remodeling ,nucleosomal DNA binding ,Chromatin Organization,darkviolet,2
AHCTF1,Q8WYP5,9606.ENSP00000355465,0,nuclear pore ,nucleocytoplasmic transport ,DNA binding ,Cell Cycle regulation,coral1,1
TTN,Q8WZ42,9606.ENSP00000467141,0,condensed nuclear chromosome ,"transcription, DNA-templated ",protein kinase binding ,Cell Cycle regulation,coral1,1
DDX1,Q92499,9606.ENSP00000370745,0,ribonucleoprotein complex ,double-strand break repair ,nuclease activity ,DNA Repair,firebrick1,3
MRPS27,Q92552,9606.ENSP00000426941,0,nucleolus ,ribosome biogenesis ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
GCN1L1,Q92616,9606.ENSP00000300648,0,ribosome,ribosome biogenesis ,protein kinase binding ,Chromatin Organization,darkviolet,2
NUP205,Q92621,9606.ENSP00000285968,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
DDX17,Q92841,9606.ENSP00000380033,0,ribonucleoprotein complex ,RNA processing ,transcription coactivator activity ,Transcription Regulation,slateblue1,9
CELF1,Q92879,9606.ENSP00000436864,MMR,ribonucleoprotein complex ,"transcription, DNA-templated ",mRNA binding ,Cell Cycle regulation,coral1,1
UFD1,Q92890,9606.ENSP00000263202,MMR,UFD1-NPL4 complex,ubiquitin-dependent protein catabolic process,polyubiquitin binding,UPR,maroon,10
UPF1,Q92900,9606.ENSP00000470142,0," chromosome, telomeric region [GO:0000781]",RNA processing ,RNA helicase activity ,DNA Repair,firebrick1,3
SMARCC1,Q92922,9606.ENSP00000254480,DSB,SWI/SNF complex,chromatin remodeling,chromatin binding,Chromatin Organization,darkviolet,2
KHSRP,Q92945,9606.ENSP00000381216,0,nucleoplasm ,RNA processing ,mRNA binding ,Transcription Regulation,slateblue1,9
EMG1,Q92979,9606.ENSP00000470560,0,small-subunit processome ,rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
HIST1H2AC,Q93077,9606.ENSP00000367022,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
HIST1H2BH,Q93079,9606.ENSP00000479169,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
UTP4,Q969X6,9606.ENSP00000327179,0, t-UTP complex [GO:0034455],rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
TBRG4,Q969Z0,9606.ENSP00000258770,0,mitochondrial matrix [GO:0005759],cell cycle ,RNA binding ,Cell Cycle regulation,coral1,1
FUBP1,Q96AE4,9606.ENSP00000359804,HR,nucleoplasm ,"transcription, DNA-templated ",single-stranded DNA binding ,Transcription Regulation,slateblue1,9
EXOSC8,Q96B26,9606.ENSP00000374354,0,nuclear exosome ,rRNA catabolic process,mRNA 3'-UTR AU-rich region binding,RNA Metabolism,gold,8
SLC22A18,Q96BI1,9606.ENSP00000369948,0,nuclear envelope,transport,transmembrane transporter activity,Nuclear Pore,deepskyblue3,4
FAF2,Q96CS3,9606.ENSP00000261942,0,endoplasmic reticulum,ubiquitin-dependent ERAD pathway,ubiquitin binding,UPR,maroon,10
SNRNP40,Q96DI7,9606.ENSP00000263694,HR,catalytic step 2 spliceosome ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
SEH1L,Q96EE3,9606.ENSP00000382779,DSB,Seh1-associated complex ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
DAZAP1,Q96EP5,9606.ENSP00000233078,0,ribonucleoprotein complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
PTCD3,Q96EY7,9606.ENSP00000254630,0,nucleoplasm,regulation of translation,rRNA binding,Ribosome Biosynthesis,lightgreen,7
CERS2,Q96G23,9606.ENSP00000271688,0,nucleus,ceramide biosynthetic process,DNA binding,Transcription Regulation,slateblue1,9
SMARCD1,Q96GM5,9606.ENSP00000378414,DSB,SWI/SNF comple,nucleosome disassembly,chromatin binding,Chromatin Organization,darkviolet,2
DDX27,Q96GQ7,9606.ENSP00000483495,0,nucleolus ,rRNA processing ,RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
PGAM5,Q96HS1,9606.ENSP00000438465,0,integral component of membrane ,threonine dephosphorylation ,serine/threonine phosphatase activity ,Cell Cycle regulation,coral1,1
DDRGK1,Q96HY6,9606.ENSP00000346483,0,nucleolus,protein ufmylation,ubiquitin-like protein ligase binding,Chromatin Organization,darkviolet,2
FUBP3,Q96I24,9606.ENSP00000318177,0,nucleus ,"transcription, DNA-templated ",single-stranded DNA binding ,Transcription Regulation,slateblue1,9
RCC1L,Q96I51,9606.ENSP00000480364,0,mitochondrial membrane,mitochondrial fusion,rRNA binding,Ribosome Biosynthesis,lightgreen,7
THOC3,Q96J01,9606.ENSP00000265097,0,THO complex part of transcription export complex,RNA splicing,RNA binding,RNA Metabolism,gold,8
CDK5RAP3,Q96JB5,9606.ENSP00000438886,DSB,nucleus,positive regulation of protein ubiquitinatio,ubiquitin-like protein ligase bindin,Cell Cycle regulation,coral1,1
NSUN5,Q96P11,9606.ENSP00000309126,NER,nucleolus ,RNA methylation ,RNA binding ,Chromatin Organization,darkviolet,2
RBM14,Q96PK6,9606.ENSP00000311747,0,transcription regulator complex ,histone deacetylation ,mRNA binding ,Chromatin Organization,darkviolet,2
PUS7,Q96PZ0,9606.ENSP00000348722,0,nucleus ,RNA splicing ,RNA binding ,DNA Repair,firebrick1,3
PPP1R10,Q96QC0,9606.ENSP00000365694,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,Cell Cycle regulation,coral1,1
FYTTD1,Q96QD9,9606.ENSP00000241502,0,nuclear speck,mRNA export from nucleus,mRNA binding,Nuclear Pore,deepskyblue3,4
TWNK,Q96RR1,9606.ENSP00000309595,0,mitochondrial nucleoid,DNA unwinding involved in DNA replication,DNA helicase activity,Cell Cycle regulation,coral1,1
SRPK1,Q96SB4,9606.ENSP00000362931,0,chromatin,protein phosphorylation,protein kinase activity,RNA Metabolism,gold,8
IWS1,Q96ST2,9606.ENSP00000295321,0,nucleus,chromatin remodeling,protein binding,Chromatin Organization,darkviolet,2
RBM15,Q96T37,9606.ENSP00000358799,HR,RNA N6-methyladenosine methyltransferase complex ,RNA methylation ,mRNA binding ,Chromatin Organization,darkviolet,2
PNKP,Q96T60,9606.ENSP00000323511,NHEJ,site of double-strand break ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
YME1L1,Q96TA2,9606.ENSP00000318480,0,nuclear body,misfolded or incompletely synthesized protein catabolic process,metalloendopeptidase activity,UPR,maroon,10
CDC5L,Q99459,9606.ENSP00000360532,DSB,spliceosomal complex ,"mRNA splicing, via spliceosome ",protein phosphatase 1 binding ,DNA Repair,firebrick1,3
PSMD1,Q99460,9606.ENSP00000309474,NHEJ,proteasome complex ,proteasomal protein catabolic process ,ubiquitin protein ligase binding ,Proteasome,grey,6
NUP88,Q99567,9606.ENSP00000458954,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
POP1,Q99575,9606.ENSP00000385787,0,nucleolar ribonuclease P complex,tRNA catabolic process,ribonuclease P activity,RNA Metabolism,gold,8
EIF3C,Q99613,9606.ENSP00000332604,0, eukaryotic translation initiation factor 3 complex [GO:0005852],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
PHB2,Q99623,9606.ENSP00000441875,DSB,histone deacetylase complex ,histone deacetylation ,histone deacetylase binding ,Cell Cycle regulation,coral1,1
HSD17B10,Q99714,9606.ENSP00000168216,ForkStall,tRNA methyltransferase complex ,RNA processing ,RNA binding ,Chromatin Organization,darkviolet,2
HNRNPAB,Q99729,9606.ENSP00000425031,0,RNA polymerase II transcription regulator complex ,"transcription, DNA-templated ",mRNA binding ,Transcription Regulation,slateblue1,9
CCT7,Q99832,9606.ENSP00000258091,0, chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,3
EBNA1BP2,Q99848,9606.ENSP00000407323,0, nucleolus [GO:0005730],RNA processing ,RNA binding ,p53 Pathway,tomato,5
H2BC15,Q99877,9606.ENSP00000483903,DSB,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,2
HIST1H2AJ,Q99878,9606.ENSP00000328484,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
DDX50,Q9BQ39,9606.ENSP00000362687,0,nucleolus ,RNA processing ,RNA helicase activity ,DNA Repair,firebrick1,3
GRWD1,Q9BQ67,9606.ENSP00000253237,0,chromosome [GO:0005694],chromatin remodeling ,chromatin binding ,RNA Metabolism,gold,8
MACROD1,Q9BQ69,9606.ENSP00000255681,0,nucleoplasm ,DNA repair ,deacetylase activity ,DNA Repair,firebrick1,3
ECSIT,Q9BQ95,9606.ENSP00000270517,0,nucleus,regulation of protein complex stability,protein binding,UPR,maroon,10
TUBA1C,Q9BQE3,9606.ENSP00000301072,0,nucleus ,microtubule cytoskeleton organization ,methylated histone binding ,Cell Cycle regulation,coral1,1
MYBBP1A,Q9BQG0,9606.ENSP00000370968,DSB,B-WICH complex ,chromatin remodeling ,transcription corepressor activity ,Cell Cycle regulation,coral1,1
MGME1,Q9BQP7,9606.ENSP00000366939,SSB,mitochondrion,mitochondrial DNA repair,single-stranded DNA exodeoxyribonuclease activity,DNA Repair,firebrick1,3
PELO,Q9BRX2,9606.ENSP00000274311,DSB,nucleus ,cell cycle ,endonuclease activity ,Cell Cycle regulation,coral1,1
TMEM43,Q9BTV4,9606.ENSP00000303992,HR,nuclear envelope,nuclear membrane organization,protein binding,Nuclear Pore,deepskyblue3,4
NDC1,Q9BTX1,9606.ENSP00000360483,0,nuclear pore,nucleocytoplasmic transport,structural constituent of nuclear pore,Nuclear Pore,deepskyblue3,4
HNRNPUL1,Q9BUJ2,9606.ENSP00000375863,0,nucleoplasm ,RNA processing ,RNA binding ,RNA Metabolism,gold,8
HTATIP2,Q9BUP3,9606.ENSP00000392985,0,nuclear envelope ,"transcription, DNA-templated ",transcription coactivator activity ,Transcription Regulation,slateblue1,9
WDR18,Q9BV38,9606.ENSP00000476117,0,Rix1 complex ,rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,7
UTP14A,Q9BVJ6,9606.ENSP00000377944,0,small-subunit processome,rRNA processing,RNA binding,RNA Metabolism,gold,8
GNL3,Q9BVP2,9606.ENSP00000395772,DSB,chromosome ,telomere maintenance via telomerase ,mRNA binding ,Transcription Regulation,slateblue1,9
NUP85,Q9BW27,9606.ENSP00000245544,0, nuclear pore [GO:0005643],nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
TARS2,Q9BW92,9606.ENSP00000358060,0,mitochondrial matrix,threonyl-tRNA aminoacylation,threonine-tRNA ligase activity,RNA Metabolism,gold,8
RBM4,Q9BWF3,9606.ENSP00000386894,0,nuclear speck,"mRNA splicing, via spliceosome",RNA binding,RNA Metabolism,gold,8
EIF2A,Q9BY44,9606.ENSP00000417229,0, eukaryotic translation initiation factor 2 complex [GO:0005850],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
MRPL1,Q9BYD6,9606.ENSP00000315017,0, mitochondrial large ribosomal subunit [GO:0005762],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
NIFK,Q9BYG3,9606.ENSP00000285814,0,condensed nuclear chromosome ,rRNA transcription ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
GTPBP4,Q9BZE4,9606.ENSP00000354040,DSB,nuclear membrane ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",RNA binding ,Chromatin Organization,darkviolet,2
RAB34,Q9BZG1,9606.ENSP00000413156,0,actin cytoskeleton,intracellular protein transport,GTPase activity,Cell Cycle regulation,coral1,1
WDR12,Q9GZL7,9606.ENSP00000261015,DSB,PeBoW complex ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",ribonucleoprotein complex binding ,Cell Cycle regulation,coral1,1
